lurralde_kodea,herrialdea,euskarazko_izena,izen_ofiziala,biztanleria2015,emaitza,aldeko_botoak,aurkako_botoak,boto_txuriak,biztanleria2016
64065,Lapurdi,Azkaine,Ascain,4.156,,,,,4.167
64066,Nafarroa Beherea,Azkarate,Ascarat,313,bai,,,,324
64081,Zuberoa,Altzürükü,Aussurucq,249,bai,,,,252
64086,Nafarroa Beherea,Aiherra,Ayherre,992,,,,,1.006
64092,Nafarroa Beherea,Banka,Banca,332,bai,,,,337
64093,Zuberoa,Barkoxe,Barcus,693,bai,,,,673
64094,Lapurdi,Bardoze,Bardos,1.672,,,,,1.723
64100,Lapurdi,Basusarri,Bassussarry,2.490,bai,,,,2.559
64102,Lapurdi,Baiona,Bayonne-Nord,45.855,bai,,,,47.492
64105,Nafarroa Beherea,Behauze,Béguios,252,,,,,242
64106,Nafarroa Beherea,Behaskane-Laphizketa,Béhasque-Lapiste,454,bai,,,,455
64107,Nafarroa Beherea,Behorlegi,Béhorléguy,76,bai,,,,75
64113,Nafarroa Beherea,Burgue-Erreiti,Bergouey-Viellenave,128,,,,,125
